Arrangements,E_ads_O,E_ads_Cl,E_ads_OH,E_ads_H2O,E_ads_H
NiNiNi,0.26066,-2.10639,-0.03994,-0.6,-0.497683385
CrCrCr,-1.9286,-3.16845,-1.7887,-0.6,-1.071505685
FeFeFe,-0.63995,-2.47865,-0.7889,-0.6,-0.589510585
WWW,-1.3086,-3.04555,-1.18875,-0.6,2.863060625
MoMoMo,-1.2718,-2.71085,-1.1624,-0.6,-0.713649785
NiNiCr,-1.1143,-2.40735,-0.566,-0.6,-0.635937785
NiNiFe,-0.1574,-2.25745,-0.313,-0.6,-0.597640585
NiNiW,-0.793,-2.08145,-0.4354,-0.6,-0.463177285
NiNiMo,-0.4135,-1.99185,-0.1964,-0.6,-0.530208385
CrCrNi,-1.0371,-2.59665,-1.0266,-0.6,-0.630883975
CrCrFe,-1.57805,-2.79765,-1.5869,-0.6,-0.695300465
CrCrW,-1.6058,-2.64815,-1.2669,-0.6,-0.794596145
CrCrMo,-1.7283,-2.95965,-1.47,-0.6,-0.834793025
FeFeNi,-0.6145,-2.412,-0.8276,-0.6,-0.764590085
FeFeCr,-1.1392,-2.617,-0.9961,-0.6,-0.644258875
FeFeW,-1.1431,-2.44175,-0.8565,-0.6,-0.673647255
FeFeMo,-1.0338,-2.03455,-0.866,-0.6,-0.665704295
WWNi,-0.25935,-2.11,-0.27895,-0.6,-0.533319915
WWCr,-1.5384,-2.65295,-1.2055,-0.6,-0.841142695
WWFe,-1.2827,-2.41645,-0.91248,-0.6,-0.631709095
WWMo,-1.3158,-2.46935,-0.9435,-0.6,-0.626872855
MoMoNi,-0.8403,-2.53875,-0.9942,-0.6,-0.535943655
MoMoCr,-1.3726,-2.68135,-1.2088,-0.6,-0.687451875
MoMoFe,-1.1251,-2.54585,-0.8406,-0.6,-0.584165905
MoMoW,-1.3067,-2.57415,-1.0547,-0.6,-0.659461765
NiCrFe,-1.2006,-2.81515,-1.1257,-0.6,-1.013020585
NiCrW,-1.1394,-2.42095,-0.8858,-0.6,-0.608262785
NiCrMo,-0.9314,-2.48415,-0.8976,-0.6,-0.608395485
NiFeW,-0.8587,-2.10555,-0.4671,-0.6,-0.392912635
NiFeMo,-0.8028,-2.1989,-0.6811,-0.6,-0.554352385
NiMoW,-0.9619,-2.47335,-1.0369,-0.6,-0.535791105
CrFeW,-1.4102,-2.70365,-1.022,-0.6,-0.747252285
CrFeMo,-1.2775,-2.72865,-1.0644,-0.6,-0.822593485
CrMoW,-1.447,-2.68785,-1.2273,-0.6,-0.748987115
FeMoW,-1.2115,-2.42365,-0.923,-0.6,-0.624000385
AlAlAl,-1.04745,-2.0603,-1.11765,-0.6,
NiNiAl,0.0508,-2.03625,-0.5502,-0.6,
CrCrAl,-1.3484,-2.65575,-1.3909,-0.6,
FeFeAl,-0.542,-2.09665,-0.7288,-0.6,
MoMoAl,-0.2652,-1.67765,-0.44495,-0.6,
WWAl,-0.3652,-1.51125,-0.2961,-0.6,
AlAlNi,-0.6459,-1.71715,-0.8228,-0.6,
AlAlCr,-0.7809,-1.79355,-0.8787,-0.6,
AlAlFe,-0.623,-1.71555,-0.7922,-0.6,
AlAlMo,-1.2188,-1.70275,-0.7766,-0.6,
AlAlW,-1.3423,-2.44735,-0.7416,-0.6,
NiCrAl,-0.756,-2.11225,-0.6735,-0.6,
NiFeAl,-0.37645,-2.0558,-0.55815,-0.6,
NiMoAl,-0.705,-1.90455,-0.847,-0.6,
NiWAl,-0.9031,-1.84705,-0.7114,-0.6,
CrFeAl,-0.9337,-2.14345,-0.6258,-0.6,
CrMoAl,-1.0984,-2.22785,-1.0748,-0.6,
CrWAl,-1.1225,-2.10855,-0.8053,-0.6,
FeMoAl,-0.8436,-2.0322,-0.5734,-0.6,
FeWAl,-1.0215,-2.07465,-0.5665,-0.6,
MoWAl,-0.95955,-2.0985,-0.67675,-0.6,
,,,,,
,,,,,
CuCuCu,,,,,
NiNiCu,,,,,
CrCrCu,,,,,
FeFeCu,,,,,
MoMoCu,,,,,
WWCu,,,,,
CuCuNi,,,,,
CuCuCr,,,,,
CuCuFe,,,,,
CuCuMo,,,,,
CuCuW,,,,,
NiCrCu,,,,,
NiFeCu,,,,,
NiMoCu,,,,,
NiWCu,,,,,
CrFeCu,,,,,
CrMoCu,,,,,
CrWCu,,,,,
FeMoCu,,,,,
FeWCu,,,,,
MoWCu,,,,,
,,,,,
MnMnMn,,,,,
NiNiMn,,,,,
CrCrMn,,,,,
FeFeMn,,,,,
MoMoMn,,,,,
WWMn,,,,,
MnMnNi,,,,,
MnMnCr,,,,,
MnMnFe,,,,,
MnMnMo,,,,,
MnMnW,,,,,
NiCrMn,,,,,
NiFeMn,,,,,
NiMoMn,,,,,
NiWMn,,,,,
CrFeMn,,,,,
CrMoMn,,,,,
CrWMn,,,,,
FeMoMn,,,,,
FeWMn,,,,,
MoWMn,,,,,